Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776382143,80,,Aggregated,146.400000,117.500000,280,300,310,320,380,530,740,1200,6200,6400,6400,11883,9008,280,342.53872817472137,239.97640000015963,6422.056900002644,35.84625094673062
1776382144,80,,Aggregated,145.500000,116.600000,280,300,310,320,380,530,740,1200,6200,6400,6400,12036,9125,280,341.8357003240506,239.97640000015963,6422.056900002644,35.84371884346959
1776382145,80,,Aggregated,147.300000,118.300000,280,300,310,320,370,520,740,1100,6200,6400,6400,12184,9248,280,341.03481124427077,239.97640000015963,6422.056900002644,35.86309914642154
1776382146,80,,Aggregated,146.700000,117.600000,280,300,310,320,370,520,730,1100,6200,6400,6400,12331,9374,280,340.2736744870849,239.97640000015963,6422.056900002644,35.89027653880464
1776382147,80,,Aggregated,147.100000,117.100000,280,300,310,320,380,520,730,1100,6200,6400,6400,12464,9486,280,340.5231573331488,239.97640000015963,6422.056900002644,35.909980744544285
1776382148,80,,Aggregated,146.700000,117.800000,280,300,310,320,380,520,730,1100,6200,6400,6400,12610,9602,280,339.7896447026431,239.97640000015963,6422.056900002644,35.91625693893735
1776382149,80,,Aggregated,143.700000,115.600000,280,300,310,320,370,520,730,1100,6200,6400,6400,12760,9720,280,339.1012419592645,239.97640000015963,6422.056900002644,35.92006269592476
1776382150,80,,Aggregated,144.600000,116.700000,280,300,310,320,370,520,730,1100,6200,6400,6400,12906,9830,280,338.40247941269627,239.97640000015963,6422.056900002644,35.91352859135286
1776382151,80,,Aggregated,143.400000,115.800000,280,300,310,320,370,510,720,1100,6200,6400,6400,13058,9952,280,337.6977416679567,239.97640000015963,6422.056900002644,35.9223464542809
1776382152,80,,Aggregated,144.500000,116.700000,280,300,310,320,370,510,720,1100,6200,6400,6400,13212,10067,280,336.98463500606533,239.97640000015963,6422.056900002644,35.91348773841962
1776382153,80,,Aggregated,145.300000,116.200000,280,300,310,320,370,510,710,1100,6200,6400,6400,13364,10185,280,336.32519734362444,239.97640000015963,6422.056900002644,35.914022747680335
1776382154,80,,Aggregated,145.900000,117.200000,280,300,310,320,370,510,710,1100,6200,6400,6400,13482,10282,280,336.74366577661175,239.97640000015963,6422.056900002644,35.925233644859816
1776382155,80,,Aggregated,146.500000,116.600000,280,300,310,320,370,510,700,1100,6200,6400,6400,13639,10414,280,336.043216064252,239.97640000015963,6422.056900002644,35.945670503702615
1776382156,80,,Aggregated,146.900000,117.100000,280,300,310,320,370,510,700,1100,6200,6400,6400,13790,10538,280,335.40313216826445,239.97640000015963,6422.056900002644,35.959100797679476
1776382157,80,,Aggregated,144.100000,115.500000,280,300,310,320,370,510,700,1100,6200,6400,6400,13947,10661,280,334.78346886071097,239.97640000015963,6422.056900002644,35.9612819961282
1776382158,80,,Aggregated,144.900000,115.500000,280,300,310,320,360,510,700,1100,6200,6400,6400,14095,10775,280,334.2216929053055,239.97640000015963,6422.056900002644,35.95956012770486
1776382159,80,,Aggregated,147.700000,117.700000,280,300,310,320,360,510,690,1100,6200,6400,6400,14247,10903,280,333.620150101797,239.97640000015963,6422.056900002644,35.978521794061905
1776382160,80,,Aggregated,146.100000,115.600000,280,300,310,320,360,500,690,1100,6200,6400,6400,14391,11016,280,333.07778300328795,239.97640000015963,6422.056900002644,35.980612883051904
1776382161,80,,Aggregated,147.000000,116.100000,280,300,310,320,370,510,690,1100,6200,6400,6400,14519,11123,280,333.4200825194753,239.97640000015963,6422.056900002644,35.99462772918245
